 &plot nbnd= 240, nks=   251 /
            0.000000  0.000000  0.000000
    6.230    6.240    6.378    6.380    6.389    6.409    6.420    6.447    6.668    6.685
    6.731    6.761    6.825    6.849    7.010    7.024    7.030    7.091    7.194    7.234
    7.306    7.351    7.540    7.557    7.623    7.651    7.709    7.719    7.853    7.861
    7.913    7.946    8.063    8.104    8.176    8.227    8.813    8.858    8.896    8.935
    9.024    9.038    9.126    9.139    9.213    9.262    9.356    9.374    9.394    9.421
    9.515    9.544    9.580    9.659    9.869    9.889    9.916    9.956    9.994   10.068
   10.499   10.566   11.415   11.481   11.697   11.738   11.772   11.796   12.499   12.569
   12.712   12.773   12.846   12.914   13.213   13.249   13.290   13.318   13.324   13.354
   13.408   13.477   13.506   13.564   13.682   13.699   13.733   13.773   13.800   13.837
   13.959   14.113   14.144   14.183   14.190   14.220   14.253   14.267   14.377   14.382
   14.504   14.698   14.739   14.785   14.891   15.002   15.009   15.028   15.151   15.243
   15.352   15.359   15.407   15.412   15.538   15.555   15.607   15.611   15.645   15.708
   15.729   15.796   15.922   16.234   16.255   16.329   16.354   16.374   16.442   16.460
            0.000000  0.000000  0.040168
  -74.320  -74.232  -69.663  -69.576  -43.552  -43.464  -43.189  -43.101  -42.637  -42.549
  -38.831  -38.743  -38.444  -38.357  -38.080  -37.992  -16.886  -16.885  -16.882  -16.882
  -16.879  -16.878  -16.874  -16.874  -16.850  -16.850  -16.842  -16.842  -16.828  -16.828
  -16.821  -16.821  -13.913  -13.913  -13.904  -13.904  -13.901  -13.901  -13.893  -13.893
  -13.890  -13.890  -13.884  -13.884  -13.877  -13.877  -13.862  -13.861  -13.858  -13.858
  -13.852  -13.852  -13.838  -13.838  -13.829  -13.829   -5.506   -5.475   -5.380   -5.344
   -5.298   -5.252   -5.146   -5.085   -3.839   -3.814   -3.616   -3.585   -3.350   -3.321
   -3.062   -3.045   -1.454   -1.429   -1.108   -1.093   -0.756   -0.738   -0.474   -0.454
    3.326    3.396    3.553    3.608    3.637    3.694    4.014    4.027    4.093    4.100
    4.114    4.148    4.563    4.616    4.686    4.728    5.218    5.235    5.284    5.313
    5.523    5.544    5.710    5.747    5.770    5.832    6.014    6.045    6.116    6.188
    6.230    6.240    6.378    6.380    6.389    6.409    6.420    6.447    6.668    6.685
    6.731    6.761    6.826    6.849    7.010    7.023    7.031    7.091    7.194    7.234
    7.306    7.351    7.540    7.557    7.623    7.651    7.709    7.719    7.853    7.862
    7.913    7.945    8.063    8.104    8.176    8.227    8.813    8.858    8.896    8.935
    9.024    9.038    9.125    9.139    9.213    9.261    9.354    9.375    9.394    9.422
    9.516    9.545    9.580    9.658    9.866    9.889    9.918    9.957    9.994   10.068
   10.499   10.566   11.415   11.481   11.697   11.737   11.773   11.796   12.499   12.569
   12.712   12.773   12.846   12.914   13.213   13.249   13.289   13.318   13.323   13.354
   13.408   13.475   13.509   13.564   13.683   13.699   13.732   13.775   13.801   13.838
   13.958   14.113   14.141   14.178   14.189   14.226   14.253   14.266   14.380   14.384
   14.503   14.697   14.738   14.784   14.888   14.999   15.008   15.025   15.155   15.246
   15.353   15.360   15.407   15.413   15.538   15.556   15.607   15.611   15.646   15.709
   15.730   15.795   15.922   16.231   16.252   16.325   16.349   16.370   16.433   16.451
            0.000000  0.000000  0.050210
  -74.320  -74.232  -69.663  -69.576  -43.552  -43.464  -43.189  -43.101  -42.637  -42.549
  -38.831  -38.743  -38.444  -38.357  -38.080  -37.992  -16.886  -16.885  -16.882  -16.882
  -16.879  -16.878  -16.874  -16.874  -16.850  -16.850  -16.842  -16.842  -16.828  -16.828
  -16.821  -16.821  -13.913  -13.913  -13.904  -13.904  -13.901  -13.901  -13.893  -13.893
  -13.890  -13.890  -13.884  -13.884  -13.877  -13.877  -13.862  -13.861  -13.858  -13.858
  -13.852  -13.852  -13.838  -13.838  -13.829  -13.829   -5.506   -5.476   -5.380   -5.344
   -5.298   -5.252   -5.146   -5.085   -3.839   -3.814   -3.616   -3.586   -3.349   -3.321
   -3.062   -3.046   -1.453   -1.429   -1.109   -1.094   -0.755   -0.737   -0.475   -0.455
    3.326    3.396    3.553    3.608    3.637    3.694    4.014    4.027    4.093    4.100
    4.114    4.148    4.562    4.614    4.688    4.730    5.215    5.231    5.289    5.315
    5.523    5.544    5.710    5.746    5.771    5.832    6.014    6.045    6.116    6.188
    6.231    6.241    6.378    6.380    6.389    6.409    6.420    6.446    6.668    6.685
    6.731    6.761    6.826    6.850    7.009    7.023    7.032    7.092    7.194    7.234
    7.306    7.350    7.539    7.556    7.623    7.651    7.709    7.719    7.853    7.862
    7.913    7.945    8.063    8.105    8.175    8.226    8.813    8.858    8.896    8.935
    9.024    9.038    9.125    9.139    9.213    9.261    9.353    9.377    9.393    9.423
    9.517    9.545    9.579    9.658    9.863    9.888    9.920    9.958    9.995   10.068
   10.499   10.566   11.415   11.481   11.697   11.736   11.774   11.796   12.499   12.569
   12.712   12.773   12.846   12.914   13.213   13.249   13.288   13.318   13.321   13.354
   13.408   13.473   13.512   13.565   13.683   13.700   13.731   13.777   13.803   13.838
   13.957   14.113   14.138   14.173   14.188   14.231   14.253   14.267   14.383   14.387
   14.501   14.696   14.737   14.783   14.885   14.996   15.007   15.022   15.159   15.249
   15.356   15.362   15.408   15.415   15.539   15.557   15.608   15.611   15.647   15.710
   15.731   15.794   15.923   16.228   16.249   16.321   16.344   16.366   16.425   16.441
            0.000000  0.000000  0.060252
  -74.320  -74.232  -69.663  -69.576  -43.552  -43.464  -43.189  -43.101  -42.637  -42.549
  -38.831  -38.743  -38.444  -38.357  -38.080  -37.992  -16.886  -16.885  -16.882  -16.882
  -16.879  -16.878  -16.874  -16.874  -16.850  -16.850  -16.842  -16.842  -16.828  -16.828
  -16.821  -16.821  -13.913  -13.913  -13.904  -13.904  -13.901  -13.901  -13.893  -13.893
  -13.890  -13.890  -13.884  -13.884  -13.877  -13.877  -13.862  -13.861  -13.858  -13.858
  -13.852  -13.852  -13.838  -13.838  -13.829  -13.829   -5.506   -5.476   -5.380   -5.344
   -5.298   -5.252   -5.146   -5.085   -3.839   -3.814   -3.617   -3.587   -3.347   -3.320
   -3.063   -3.047   -1.453   -1.428   -1.111   -1.095   -0.753   -0.736   -0.475   -0.455
    3.326    3.396    3.553    3.608    3.637    3.694    4.014    4.027    4.093    4.100
    4.114    4.148    4.561    4.613    4.691    4.732    5.212    5.225    5.294    5.318
    5.523    5.544    5.710    5.746    5.772    5.832    6.013    6.044    6.116    6.188
    6.231    6.241    6.378    6.380    6.389    6.409    6.421    6.446    6.668    6.685
    6.731    6.761    6.826    6.850    7.008    7.022    7.032    7.092    7.195    7.235
    7.306    7.350    7.539    7.556    7.623    7.651    7.710    7.719    7.852    7.863
    7.914    7.945    8.063    8.105    8.175    8.226    8.813    8.858    8.896    8.935
    9.024    9.038    9.125    9.139    9.213    9.261    9.351    9.379    9.392    9.424
    9.518    9.546    9.579    9.658    9.859    9.886    9.922    9.959    9.996   10.068
   10.499   10.566   11.415   11.481   11.696   11.735   11.775   11.796   12.500   12.569
   12.712   12.773   12.846   12.914   13.212   13.249   13.287   13.318   13.320   13.354
   13.407   13.471   13.516   13.565   13.683   13.700   13.729   13.779   13.805   13.839
   13.956   14.114   14.133   14.168   14.186   14.236   14.253   14.268   14.387   14.390
   14.500   14.695   14.735   14.782   14.881   14.992   15.006   15.019   15.164   15.253
   15.359   15.365   15.409   15.416   15.540   15.558   15.608   15.612   15.649   15.712
   15.732   15.793   15.924   16.223   16.245   16.315   16.338   16.361   16.416   16.431
            0.000000  0.000000  0.070294
  -74.320  -74.232  -69.663  -69.576  -43.552  -43.464  -43.189  -43.101  -42.637  -42.549
  -38.831  -38.743  -38.444  -38.357  -38.080  -37.992  -16.886  -16.885  -16.882  -16.882
  -16.879  -16.878  -16.874  -16.874  -16.850  -16.850  -16.842  -16.842  -16.828  -16.828
  -16.821  -16.821  -13.913  -13.913  -13.904  -13.904  -13.901  -13.901  -13.893  -13.893
  -13.890  -13.890  -13.884  -13.884  -13.877  -13.877  -13.862  -13.861  -13.858  -13.858
  -13.852  -13.852  -13.838  -13.838  -13.829  -13.829   -5.506   -5.476   -5.380   -5.344
   -5.298   -5.252   -5.145   -5.085   -3.838   -3.813   -3.618   -3.588   -3.346   -3.318
   -3.063   -3.047   -1.452   -1.427   -1.112   -1.097   -0.752   -0.734   -0.476   -0.456
    3.326    3.396    3.553    3.608    3.637    3.694    4.014    4.027    4.093    4.100
    4.114    4.148    4.559    4.611    4.694    4.734    5.209    5.220    5.298    5.321
    5.523    5.543    5.710    5.745    5.773    5.832    6.013    6.044    6.116    6.188
    6.232    6.242    6.377    6.380    6.389    6.409    6.421    6.446    6.668    6.685
    6.731    6.761    6.827    6.850    7.008    7.021    7.033    7.092    7.195    7.235
    7.306    7.350    7.538    7.555    7.624    7.651    7.710    7.719    7.852    7.864
    7.915    7.944    8.063    8.105    8.174    8.225    8.813    8.858    8.896    8.935
    9.024    9.039    9.125    9.140    9.212    9.260    9.349    9.381    9.392    9.425
    9.519    9.546    9.579    9.657    9.855    9.884    9.925    9.960    9.998   10.068
   10.499   10.565   11.415   11.481   11.696   11.734   11.776   11.796   12.500   12.569
   12.712   12.773   12.846   12.914   13.212   13.249   13.285   13.317   13.320   13.354
   13.407   13.469   13.519   13.566   13.683   13.701   13.728   13.781   13.808   13.839
   13.954   14.114   14.129   14.163   14.184   14.239   14.253   14.271   14.391   14.393
   14.497   14.694   14.734   14.781   14.877   14.988   15.005   15.015   15.170   15.258
   15.362   15.367   15.410   15.418   15.542   15.559   15.608   15.614   15.651   15.713
   15.734   15.792   15.926   16.218   16.240   16.309   16.331   16.355   16.407   16.421
            0.000000  0.000000  0.080336
  -74.320  -74.232  -69.663  -69.576  -43.552  -43.464  -43.189  -43.101  -42.637  -42.549
  -38.831  -38.743  -38.444  -38.357  -38.080  -37.992  -16.886  -16.885  -16.882  -16.882
  -16.879  -16.878  -16.874  -16.874  -16.850  -16.850  -16.842  -16.842  -16.828  -16.828
  -16.821  -16.821  -13.913  -13.913  -13.904  -13.904  -13.901  -13.901  -13.893  -13.893
  -13.890  -13.890  -13.884  -13.884  -13.877  -13.877  -13.862  -13.861  -13.858  -13.858
  -13.852  -13.852  -13.838  -13.838  -13.829  -13.829   -5.506   -5.476   -5.380   -5.344
   -5.298   -5.252   -5.145   -5.086   -3.838   -3.813   -3.619   -3.590   -3.344   -3.317
   -3.064   -3.048   -1.451   -1.426   -1.114   -1.099   -0.750   -0.732   -0.477   -0.457
    3.326    3.396    3.553    3.608    3.637    3.694    4.014    4.027    4.093    4.100
    4.114    4.148    4.557    4.609    4.698    4.737    5.205    5.215    5.303    5.325
    5.522    5.543    5.710    5.744    5.774    5.832    6.012    6.043    6.116    6.188
    6.233    6.242    6.377    6.379    6.389    6.409    6.421    6.446    6.668    6.685
    6.731    6.760    6.827    6.851    7.007    7.021    7.033    7.093    7.195    7.235
    7.305    7.350    7.537    7.555    7.624    7.651    7.710    7.720    7.852    7.865
    7.916    7.944    8.064    8.105    8.174    8.224    8.813    8.858    8.896    8.935
    9.024    9.039    9.125    9.140    9.212    9.260    9.347    9.382    9.391    9.426
    9.520    9.547    9.578    9.657    9.851    9.881    9.927    9.961    9.999   10.069
